"Site","ShannonIndex","SimpsonIndex","PielouEvenness","Zone"
"N1",0.454812254775975,0.226733005708006,0.328077692250414,"PNMS North"
"N3",0.74606155330863,0.387168634439742,0.46355410640246,"PNMS North"
"N4",0,0,NA,"PNMS North"
"S1",0.684419718113263,0.333372781065089,0.493704466604314,"PNMS South"
"S2",1.06094424079075,0.642857142857143,0.965713065231567,"PNMS South"
"S3",1.38931938344578,0.651605231866825,0.775393911574718,"PNMS South"
"S4",1.42854292722683,0.721285459234279,0.887603626204077,"PNMS South"
"W1",1.51715158489329,0.674556213017752,0.779661684600303,"DFZ West"
"W2",1.52705266436988,0.71655328798186,0.852264319288227,"DFZ West"
"W3",1.25548232517875,0.6875,0.905639062229566,"DFZ West"
"W4",1.9911659044527,0.825622649605231,0.776298330670867,"DFZ West"
