"Site","Zone","NumStrings","TotalMaxN","MeanMaxNPerString","MedianMaxNPerString","SDMaxNPerString","SEMaxNPerString","TotalBiomass_kg","MeanBiomassPerString","MedianBiomassPerString","SDBiomassPerString","SEBiomassPerString","TotalSpeciesRichness","MeanSpeciesRichness","MedianSpeciesRichness","SDSpeciesRichness","SESpeciesRichness","TotalFamilyRichness","MeanFamilyRichness","MedianFamilyRichness","SDFamilyRichness","SEFamilyRichness"
"N1","PNMS North",3,101,33.6666666666667,8,51.5396287659635,29.7564185419624,9.96412,3.32137333333333,0.8143,5.06397709632788,2.923688539735,5,2.33333333333333,3,1.15470053837925,0.666666666666667,5,2.33333333333333,3,1.15470053837925,0.666666666666667
"N3","PNMS North",3,92,30.6666666666667,26,27.3007936392577,15.7621205567159,18.91273,6.30424333333333,7.38945,3.23019137738514,1.86495186126732,6,3.33333333333333,3,1.52752523165195,0.881917103688197,5,3,3,1,0.577350269189626
"N4","PNMS North",2,1,0.5,0.5,0.707106781186548,0.5,1.96412,0.98206,0.98206,1.38884257106412,0.98206,2,1.5,1.5,0.707106781186548,0.5,2,1.5,1.5,0.707106781186548,0.5
"S1","PNMS South",3,116,38.6666666666667,40,13.0511813003013,7.53510303697154,16.77339,5.59113,0.33118,9.17689207122433,5.29828110764551,5,3.33333333333333,3,0.577350269189626,0.333333333333333,4,3,3,0,0
"S2","PNMS South",3,10,3.33333333333333,4,2.08166599946613,1.20185042515466,1.51359,0.50453,0.34827,0.598002918721974,0.345257146100314,4,2.66666666666667,3,0.577350269189626,0.333333333333333,4,2.66666666666667,3,0.577350269189626,0.333333333333333
"S3","PNMS South",3,18,6,3,7.93725393319377,4.58257569495584,73.68268,24.5608933333333,36.65563,21.2711682613493,12.2809147216678,7,4,4,3,1.73205080756888,5,3.33333333333333,4,2.08166599946613,1.20185042515466
"S4","PNMS South",3,26,8.66666666666667,10,4.16333199893227,2.40370085030933,27.40325,9.13441666666667,0.80682,14.7585481348618,8.52085173851052,6,4.33333333333333,4,0.577350269189626,0.333333333333333,5,3.33333333333333,3,0.577350269189626,0.333333333333333
"W1","DFZ West",2,14,7,7,2.82842712474619,2,2.86215,1.431075,1.431075,1.38706773304334,0.980805,8,5,5,1.4142135623731,1,5,4.5,4.5,0.707106781186548,0.5
"W2","DFZ West",2,12,6,6,5.65685424949238,4,2.12548,1.06274,1.06274,0.312824039996929,0.2212,7,4.5,4.5,3.53553390593274,2.5,6,4,4,2.82842712474619,2
"W3","DFZ West",1,8,8,8,0,0,0.83062,0.83062,0.83062,0,0,5,5,5,0,0,4,4,4,0,0
"W4","DFZ West",3,236,78.6666666666667,59,79.349438141258,45.8124194709009,40.09089,13.36363,13.94334,11.218853851945,6.47720829141949,14,7,7,2,1.15470053837925,7,5,4,1.73205080756888,1
