"Site","Zone","NumStrings","TotalMaxN","MeanMaxNPerString","SDMaxNPerString","SEMaxNPerString","TotalBiomass_kg","MeanBiomassPerString","SDBiomassPerString","SEBiomassPerString","MeanSpeciesRichness","SDSpeciesRichness","SESpeciesRichness","MeanFamilyRichness","SDFamilyRichness","SEFamilyRichness","TotalSpeciesRichness","TotalFamilyRichness"
"N1","PNMS North",3,101,33.6666666666667,51.5396287659635,29.7564185419624,8.1231,2.7077,4.2943934367964,2.47936920674056,2.33333333333333,1.15470053837925,0.666666666666667,2.33333333333333,1.15470053837925,0.666666666666667,5,5
"N3","PNMS North",3,92,30.6666666666667,27.3007936392577,15.7621205567159,15.04816,5.01605333333333,2.70946925253514,1.56431280231218,3.33333333333333,1.52752523165195,0.881917103688197,3,1,0.577350269189626,6,5
"N4","PNMS North",2,1,0.5,0.707106781186548,0.5,0.59171,0.295855,0.418402153495892,0.295855,1.5,0.707106781186548,0.5,1.5,0.707106781186548,0.5,2,2
"W1","DFZ West",2,14,7,2.82842712474619,2,1.88464,0.94232,0.696896159266214,0.49278,5,1.4142135623731,1,4.5,0.707106781186548,0.5,8,5
"W2","DFZ West",2,13,6.5,6.36396103067893,4.5,336.77359,168.386795,237.34147297864,167.825765,5,4.24264068711928,3,4.5,3.53553390593274,2.5,8,7
"W3","DFZ West",1,8,8,0,0,0.83062,0.83062,0,0,5,0,0,4,0,0,5,4
"W4","DFZ West",3,236,78.6666666666667,79.349438141258,45.8124194709009,33.69344,11.2311466666667,10.8982220296952,6.29209142253282,7,2,1.15470053837925,5,1.73205080756888,1,14,7
"S1","PNMS South",3,117,39,13.114877048604,7.57187779440036,150.4477,50.1492333333333,73.1817413208529,42.25149805136,3.66666666666667,0.577350269189626,0.333333333333333,3.33333333333333,0.577350269189626,0.333333333333333,6,5
"S2","PNMS South",3,10,3.33333333333333,2.08166599946613,1.20185042515466,0.88391,0.294636666666667,0.36269184348884,0.209400233471163,2.66666666666667,0.577350269189626,0.333333333333333,2.66666666666667,0.577350269189626,0.333333333333333,4,4
"S3","PNMS South",3,18,6,7.93725393319377,4.58257569495584,73.68256,24.5608533333333,21.2711341455747,12.2808950249162,4,3,1.73205080756888,3.33333333333333,2.08166599946613,1.20185042515466,7,5
"S4","PNMS South",3,26,8.66666666666667,4.16333199893227,2.40370085030933,14.87985,4.95995,7.9266243388532,4.57643869580194,4.33333333333333,0.577350269189626,0.333333333333333,3.33333333333333,0.577350269189626,0.333333333333333,6,5
