Site,Zone,Total_Plankton_Count,Unique_Plankton_Types,Total_Fish_MaxN,Total_Fish_Biomass_kg,Fish_Species_Richness
N1,PNMS North,2609,56,129,9.96412,5
N3,PNMS North,2544,48,101,18.91273,6
N4,PNMS North,3034,86,4,1.9641199999999999,2
S1,PNMS South,28083,215,276,16.77339,5
S2,PNMS South,5089,93,15,1.51359,4
S3,PNMS South,8074,90,19,73.68268,7
S4,PNMS South,22915,152,33,27.40325,6
W1,DFZ West,16589,166,18,2.8621499999999997,8
W2,DFZ West,56238,138,20,2.12548,7
W3,DFZ West,10771,114,8,0.83062,5
W4,DFZ West,84184,262,294,40.090889999999995,14
