Specimen Type,Plankton Category,Type_Column
Cnidaria,Meroplankton,Plankton_Cnidaria
Sipunculan,Meroplankton,Plankton_Sipunculan
Benthic_Snail,Meroplankton,Plankton_Benthic_Snail
Copepod,Holoplankton,Plankton_Copepod
Shrimp,Holoplankton,Plankton_Shrimp
Pteropod,Holoplankton,Plankton_Pteropod
Unknown,NA,Plankton_Unknown
Echinoderm,Meroplankton,Plankton_Echinoderm
Barnacle,Meroplankton,Plankton_Barnacle
Benthic_Snail,Holoplankton,Plankton_Benthic_Snail
Larvaceans,Holoplankton,Plankton_Larvaceans
Other Gelatinous,Holoplankton,Plankton_Other_Gelatinous
Crab,Meroplankton,Plankton_Crab
Evadne,Holoplankton,Plankton_Evadne
Chaetognath,Holoplankton,Plankton_Chaetognath
Krill,Holoplankton,Plankton_Krill
Amphipod,Holoplankton,Plankton_Amphipod
Ascidean_Tadpole,Holoplankton,Plankton_Ascidean_Tadpole
Bivalve,Meroplankton,Plankton_Bivalve
Bryozoan,Meroplankton,Plankton_Bryozoan
Cephalopod,Holoplankton,Plankton_Cephalopod
Deciduous_Larva,Meroplankton,Plankton_Deciduous_Larva
Embryo,Holoplankton,Plankton_Embryo
Fish,Holoplankton,Plankton_Fish
Isopod,Holoplankton,Plankton_Isopod
Jelly,Holoplankton,Plankton_Jelly
Limpet,Meroplankton,Plankton_Limpet
Nemertean,Meroplankton,Plankton_Nemertean
Nudibranch,Meroplankton,Plankton_Nudibranch
Ostracod,Holoplankton,Plankton_Ostracod
Platyhelminth,Meroplankton,Plankton_Platyhelminth
Polychaete,Meroplankton,Plankton_Polychaete
Polychaete,Holoplankton,Plankton_Polychaete
Porifera,Meroplankton,Plankton_Porifera
Stomatopod,Meroplankton,Plankton_Stomatopod
Huge_Hairy_Egg,Holoplankton,Plankton_Huge_Hairy_Egg
Salp,Holoplankton,Plankton_Salp
Oligochaete,Meroplankton,Plankton_Oligochaete
Tick,Holoplankton,Plankton_Tick
Hemichordate,Meroplankton,Plankton_Hemichordate
Phoronid,Meroplankton,Plankton_Phoronid
