"Site","Zone","Functional_Group","FG_TotalMaxN","FG_TotalBiomass_kg","FG_SpeciesRichness","FG_MeanTR","NumStrings","SiteTotalMaxN","SiteTotalBiomass_kg","FG_PercentMaxN","FG_PercentBiomass"
"N1","PNMS North","Pelagic Macropredator",79,8.37964,2,4.5,1,101,9.96412,78.2178217821782,84.0981441411786
"N1","PNMS North","Zooplanktivore",21,1.40114,3,3.95238095238095,2,101,9.96412,20.7920792079208,14.0618539319077
"N1","PNMS North","Oceanic Omnivore",1,0.18334,2,2.8,1,101,9.96412,0.99009900990099,1.84000192691377
"N3","PNMS North","Zooplanktivore",52,2.95548,3,3.99038461538462,1,92,18.91273,56.5217391304348,15.626934874024
"N3","PNMS North","Oceanic Omnivore",36,13.63388,2,3.5,3,92,18.91273,39.1304347826087,72.0883764533201
"N3","PNMS North","Pelagic Macropredator",4,2.32337,3,4.35,2,92,18.91273,4.34782608695652,12.2846886726559
"N4","PNMS North","Oceanic Omnivore",1,1.96412,2,3.5,1,1,1.96412,100,100
"W1","DFZ West","Oceanic Omnivore",11,2.85757,6,3.43636363636364,2,14,2.86215,78.5714285714286,99.8399804342889
"W1","DFZ West","Zooplanktivore",3,0.00458,3,3.66666666666667,2,14,2.86215,21.4285714285714,0.160019565711091
"W2","DFZ West","Zooplanktivore",6,0.00988,3,3.91666666666667,1,12,2.12548,50,0.464836178180928
"W2","DFZ West","Oceanic Omnivore",4,1.05499,3,3.575,2,12,2.12548,33.3333333333333,49.6353764796658
"W2","DFZ West","Apex Pelagic Predator",1,0.98116,2,4.5,1,12,2.12548,8.33333333333333,46.1618081562753
"W2","DFZ West","Pelagic Macropredator",1,0.07945,2,3.8,1,12,2.12548,8.33333333333333,3.73797918587801
"W3","DFZ West","Zooplanktivore",4,0.00799,3,3.875,1,8,0.83062,50,0.961932050757266
"W3","DFZ West","Oceanic Omnivore",3,0.81556,2,3.5,1,8,0.83062,37.5,98.1868965351183
"W3","DFZ West","Pelagic Macropredator",1,0.00707,2,3.8,1,8,0.83062,12.5,0.851171414124389
"W4","DFZ West","Zooplanktivore",159,10.78004,5,3.82264150943396,3,236,40.09089,67.3728813559322,26.8890014664179
"W4","DFZ West","Oceanic Omnivore",30,9.53946,5,3.41333333333333,3,236,40.09089,12.7118644067797,23.7945827593251
"W4","DFZ West","Apex Pelagic Predator",25,19.51422,3,4.308,1,236,40.09089,10.593220338983,48.6749483486149
"W4","DFZ West","Mixed Group",17,0.0159,2,3.8,1,236,40.09089,7.20338983050847,0.0396598828312367
"W4","DFZ West","Pelagic Macropredator",5,0.24127,3,3.94,1,236,40.09089,2.11864406779661,0.601807542810848
"S1","PNMS South","Zooplanktivore",109,0.67479,3,3.98165137614679,3,116,16.77339,93.9655172413793,4.02297925464083
"S1","PNMS South","Pelagic Macropredator",7,16.0986,3,4.14285714285714,1,116,16.77339,6.03448275862069,95.9770207453592
"S2","PNMS South","Zooplanktivore",5,0.00095,2,3.5,3,10,1.51359,50,0.0627646852846544
"S2","PNMS South","Oceanic Omnivore",4,1.41035,2,3.5,2,10,1.51359,40,93.1791304118024
"S2","PNMS South","Pelagic Macropredator",1,0.10229,2,4.5,1,10,1.51359,10,6.75810490291294
"S3","PNMS South","Zooplanktivore",12,0.0247,4,3.88333333333333,2,18,73.68268,66.6666666666667,0.0335221248738509
"S3","PNMS South","Pelagic Macropredator",3,0.01845,2,3.8,2,18,73.68268,16.6666666666667,0.0250398058268239
"S3","PNMS South","Apex Pelagic Predator",2,73.29258,2,4.5,2,18,73.68268,11.1111111111111,99.4705675743608
"S3","PNMS South","Oceanic Omnivore",1,0.34695,2,3.8,1,18,73.68268,5.55555555555556,0.470870494938566
"S4","PNMS South","Zooplanktivore",15,0.05587,2,4,3,26,27.40325,57.6923076923077,0.203880926532437
"S4","PNMS South","Pelagic Macropredator",7,23.7604,3,4.05714285714286,3,26,27.40325,26.9230769230769,86.7065037906088
"S4","PNMS South","Oceanic Omnivore",3,1.16609,2,3.5,2,26,27.40325,11.5384615384615,4.25529818543421
"S4","PNMS South","Apex Pelagic Predator",1,2.42089,2,4.5,1,26,27.40325,3.84615384615385,8.83431709742458
